PROPERTY_ID,ADDRESS,PROPERTY_TYPE,LOT_SIZE,LATITUDE,LONGITUDE,TOTAL_VALUE,LAND_VALUE,BUILDING_VALUE,GROSS_AREA,YEAR_BUILT,BUILDING_AGE,NEIGHBORHOOD,USE_CODE,TAX_STATUS,CONDO_FLAG,SIZE_CATEGORY,DISTANCE_TO_RED_LINE,TRANSIT_ACCESSIBILITY,GENERAL_USE_CATEGORY,NEIGHBORHOOD_DENSITY
93-76,522 Massachusetts Ave,RETAIL-STORE,4473.0,42.36413650305133,-71.1021459595976,,,,,,,5.0,325,,False,Small,132.66845102140744,0.8681500362825327,Commercial,25
119-7,878 Massachusetts Ave,MULTIUSE-RES,9850.0,42.36756384372414,-71.10803030868344,,,,,,,7.0,13,,False,Medium,623.3169677133,0.3805285360253508,Other,51
174-31,1680 Massachusetts Ave,RETAIL-OFFIC,2885.0,42.38244476970382,-71.12008778018743,,,,,,,9.0,345,,False,Small,671.9675752531364,0.33217807448325354,Commercial,42
117-23,891 Massachusetts Ave,>8-UNIT-APT,5017.0,42.36825284274556,-71.10797356640995,,,,,,,6.0,112,,False,Small,660.5164832744796,0.3435585198739038,Multi-Family,34
156-26,1637-1653 Massachusetts Ave,Private College Res Units,42820.0,42.38123448940702,-71.11927102553473,,,,,,,8.0,9421,Educ NonTax,False,Large,795.9404122086174,0.20897007794235709,Multi-Family,24
199-32,2130 Massachusetts Ave,MXD >8-UNIT-APT,39199.0,42.39172195880485,-71.12453770500571,,,,,,,11.0,112,,True,Large,716.8021022665054,0.2876201504667243,Multi-Family,28
157-39,1619 Massachusetts Ave,MXD >8-UNIT-APT,14080.0,42.38038358369073,-71.11932145269176,,,,,,,8.0,112,,True,Large,753.8227266753021,0.25082792181312974,Multi-Family,24
177-79,1840 Massachusetts Ave,PARKING-LOT,13263.0,42.38755622230179,-71.1195546711755,,,,,,,9.0,337,,False,Large,112.08367105568269,0.8886078201091858,Other,42
175-68,1734 Massachusetts Ave,GEN-OFFICE,10519.0,42.38432512184355,-71.11991420369613,,,,,,,9.0,340,,False,Medium,463.5549300558417,0.5393049346822215,Commercial,42
53-59,149 Massachusetts Ave,Private College,15273.0,42.3608313140556,-71.09562082285707,,,,,,,4.0,942,Educ NonTax,False,Large,944.5484138637581,0.06127890136267481,Educational,23
