PROPERTY_ID,ADDRESS,CORRIDOR_SEGMENT,TOTAL_VALUE,PRICE_PER_SQFT,RED_LINE_DISTANCE,NEAREST_STATION,ON_MASS_AVE,ON_MAIN_ST
8475,875 Massachusetts Ave,Mass Ave - Central,356800.0,594.6666666666666,563.5146340341158,Central Square,True,False
8476,875 Massachusetts Ave,Mass Ave - Central,654800.0,594.7320617620345,563.5146340341158,Central Square,True,False
8477,875 Massachusetts Ave,Mass Ave - Central,252800.0,594.8235294117648,563.5146340341158,Central Square,True,False
8478,875 Massachusetts Ave,Mass Ave - Central,349100.0,594.7189097103918,563.5146340341158,Central Square,True,False
8479,875 Massachusetts Ave,Mass Ave - Central,371100.0,594.7115384615385,563.5146340341158,Central Square,True,False
8480,875 Massachusetts Ave,Mass Ave - Central,362800.0,594.7540983606557,563.5146340341158,Central Square,True,False
8481,875 Massachusetts Ave,Mass Ave - Central,290200.0,594.672131147541,563.5146340341158,Central Square,True,False
8482,875 Massachusetts Ave,Mass Ave - Central,252800.0,594.8235294117648,563.5146340341158,Central Square,True,False
8483,875 Massachusetts Ave,Mass Ave - Central,346100.0,594.6735395189004,563.5146340341158,Central Square,True,False
8484,875 Massachusetts Ave,Mass Ave - Central,362200.0,594.7454844006568,563.5146340341158,Central Square,True,False
8485,875 Massachusetts Ave,Mass Ave - Central,362800.0,594.7540983606557,563.5146340341158,Central Square,True,False
8486,875 Massachusetts Ave,Mass Ave - Central,290200.0,594.672131147541,563.5146340341158,Central Square,True,False
8487,875 Massachusetts Ave,Mass Ave - Central,45000.0,316.90140845070425,563.5146340341158,Central Square,True,False
8488,875 Massachusetts Ave,Mass Ave - Central,45000.0,316.90140845070425,563.5146340341158,Central Square,True,False
8489,875 Massachusetts Ave,Mass Ave - Central,45000.0,316.90140845070425,563.5146340341158,Central Square,True,False
8490,875 Massachusetts Ave,Mass Ave - Central,45000.0,284.8101265822785,563.5146340341158,Central Square,True,False
8491,875 Massachusetts Ave,Mass Ave - Central,45000.0,284.8101265822785,563.5146340341158,Central Square,True,False
8454,875 Massachusetts Ave,Mass Ave - Central,45000.0,59.36675461741425,563.5146340341158,Central Square,True,False
8492,875 Massachusetts Ave,Mass Ave - Central,45000.0,294.11764705882354,563.5146340341158,Central Square,True,False
8501,875 Massachusetts Ave,Mass Ave - Central,45000.0,248.61878453038673,563.5146340341158,Central Square,True,False
8502,875 Massachusetts Ave,Mass Ave - Central,45000.0,271.0843373493976,563.5146340341158,Central Square,True,False
8493,875 Massachusetts Ave,Mass Ave - Central,45000.0,333.3333333333333,563.5146340341158,Central Square,True,False
8494,875 Massachusetts Ave,Mass Ave - Central,45000.0,300.0,563.5146340341158,Central Square,True,False
8495,875 Massachusetts Ave,Mass Ave - Central,45000.0,269.4610778443114,563.5146340341158,Central Square,True,False
8496,875 Massachusetts Ave,Mass Ave - Central,45000.0,269.4610778443114,563.5146340341158,Central Square,True,False
8497,875 Massachusetts Ave,Mass Ave - Central,45000.0,338.34586466165416,563.5146340341158,Central Square,True,False
8498,875 Massachusetts Ave,Mass Ave - Central,45000.0,284.8101265822785,563.5146340341158,Central Square,True,False
8499,875 Massachusetts Ave,Mass Ave - Central,45000.0,312.5,563.5146340341158,Central Square,True,False
8500,875 Massachusetts Ave,Mass Ave - Central,45000.0,321.42857142857144,563.5146340341158,Central Square,True,False
8503,875 Massachusetts Ave,Mass Ave - Central,45000.0,294.11764705882354,563.5146340341158,Central Square,True,False
8511,875 Massachusetts Ave,Mass Ave - Central,45000.0,312.5,563.5146340341158,Central Square,True,False
8512,875 Massachusetts Ave,Mass Ave - Central,45000.0,312.5,563.5146340341158,Central Square,True,False
8513,875 Massachusetts Ave,Mass Ave - Central,45000.0,288.46153846153845,563.5146340341158,Central Square,True,False
8514,875 Massachusetts Ave,Mass Ave - Central,45000.0,351.5625,563.5146340341158,Central Square,True,False
8515,875 Massachusetts Ave,Mass Ave - Central,45000.0,351.5625,563.5146340341158,Central Square,True,False
8516,875 Massachusetts Ave,Mass Ave - Central,45000.0,245.9016393442623,563.5146340341158,Central Square,True,False
8504,875 Massachusetts Ave,Mass Ave - Central,45000.0,333.3333333333333,563.5146340341158,Central Square,True,False
8505,875 Massachusetts Ave,Mass Ave - Central,45000.0,300.0,563.5146340341158,Central Square,True,False
