PROPERTY_ID,ADDRESS,PROPERTY_TYPE,LOT_SIZE,LATITUDE,LONGITUDE,TOTAL_VALUE,LAND_VALUE,BUILDING_VALUE,GROSS_AREA,YEAR_BUILT,BUILDING_AGE,NEIGHBORHOOD,USE_CODE,TAX_STATUS,CONDO_FLAG,CORRIDOR_SEGMENT
94-91,91 Brookline St,4-8-UNIT-APT,2112.0,42.36160333285054,-71.10375124066597,,,,,,,5.0,111,,False,Central Square Area
82-96,375-381 Norfolk St,4-8-UNIT-APT,4937.0,42.373558794019154,-71.09622726100855,,,,,,,3.0,111,,False,Harvard Square Area
127-77,14 Rockwell St,TWO-FAM-RES,1843.0,42.36237758582197,-71.11124698702048,,,,,,,5.0,104,,False,Central Square Area
210-40,8 Walnut Ave,SINGLE FAM W/AU,9730.0,42.38731933069582,-71.12303445953887,,,,,,,9.0,1014,,False,Porter Square Area
116-111,11-6 Dana St,SINGLE FAM W/AU,1601.0,42.37053151086328,-71.11030418337656,,,,,,,6.0,1014,,False,Harvard Square Area
130-146,163-167 Putnam Ave,4-8-UNIT-APT,11640.0,42.365280477092526,-71.11409380396027,,,,,,,7.0,111,,True,Central Square Area
87-32,244 Prospect St,TWO-FAM-RES,4200.0,42.37126706216385,-71.09933416801121,,,,,,,4.0,104,,False,Harvard Square Area
142-135,3 Irving Ter,SNGL-FAM-RES,1174.0,42.37587307171574,-71.11122868129421,,,,,,,6.0,101,,False,Porter Square Area
201-119,30 Buena Vista Pk,THREE-FM-RES,5281.0,42.38833060187144,-71.12432478802624,,,,,,,9.0,105,,True,Porter Square Area
84-70,165 Hampshire St,4-8-UNIT-APT,2911.0,42.37190034400245,-71.09828914967427,,,,,,,3.0,111,,False,Harvard Square Area
178-100,35 Upland Rd,TWO-FAM-RES,5800.0,42.38813155667726,-71.12105383037999,,,,,,,9.0,104,,False,Porter Square Area
113-50,25 Fainwood Cir,THREE-FM-RES,3846.0,42.37287804401918,-71.1036796986206,,,,,,,6.0,105,,False,Harvard Square Area
149-127,45A Museum St,SNGL-FAM-RES,1736.0,42.38062551852718,-71.11390541808399,,,,,,,8.0,101,,False,Porter Square Area
104-54,20 Upton St,SNGL-FAM-RES,1640.0,42.362743962830066,-71.10870374169498,,,,,,,5.0,101,,False,Central Square Area
145-43,21 Francis Ave,SNGL-FAM-RES,11026.0,42.37881509995089,-71.11236988080066,,,,,,,8.0,101,,False,Porter Square Area
122-176,172 Putnam Ave,4-8-UNIT-APT,7500.0,42.36494107303663,-71.11359221839686,,,,,,,7.0,111,,True,Central Square Area
84-93,58.5 Tremont St,THREE-FM-RES,1660.0,42.372030903780555,-71.09816089797604,,,,,,,3.0,105,,False,Harvard Square Area
